Epoch [1/200], Train Loss: 1.7683, Train Acc: 0.3296, Test Loss: 2.1071, Test Acc: 0.2367
Epoch [2/200], Train Loss: 1.5482, Train Acc: 0.4267, Test Loss: 2.0478, Test Acc: 0.3681
Epoch [3/200], Train Loss: 1.4657, Train Acc: 0.4664, Test Loss: 1.5436, Test Acc: 0.4461
Epoch [4/200], Train Loss: 1.4351, Train Acc: 0.4767, Test Loss: 1.7409, Test Acc: 0.3911
Epoch [5/200], Train Loss: 1.4071, Train Acc: 0.4871, Test Loss: 1.3712, Test Acc: 0.5000
Epoch [6/200], Train Loss: 1.5535, Train Acc: 0.4284, Test Loss: 1.4708, Test Acc: 0.4581
Epoch [7/200], Train Loss: 1.7065, Train Acc: 0.3699, Test Loss: 3.2442, Test Acc: 0.1830
Epoch [8/200], Train Loss: 1.5843, Train Acc: 0.4141, Test Loss: 1.4705, Test Acc: 0.4496
Epoch [9/200], Train Loss: 1.4509, Train Acc: 0.4675, Test Loss: 1.4435, Test Acc: 0.4668
Epoch [10/200], Train Loss: 1.4947, Train Acc: 0.4513, Test Loss: 1.8074, Test Acc: 0.3662
Epoch [11/200], Train Loss: 1.4303, Train Acc: 0.4755, Test Loss: 1.3365, Test Acc: 0.5100
Epoch [12/200], Train Loss: 1.3367, Train Acc: 0.5131, Test Loss: 1.2440, Test Acc: 0.5491
Epoch [13/200], Train Loss: 1.2226, Train Acc: 0.5572, Test Loss: 1.2464, Test Acc: 0.5518
Epoch [14/200], Train Loss: 1.1947, Train Acc: 0.5691, Test Loss: 808.4341, Test Acc: 0.1179
Epoch [15/200], Train Loss: 1.4169, Train Acc: 0.4816, Test Loss: 1.4989, Test Acc: 0.4723
Epoch [16/200], Train Loss: 1.3684, Train Acc: 0.5024, Test Loss: 1.4489, Test Acc: 0.4761
Epoch [17/200], Train Loss: 1.3394, Train Acc: 0.5133, Test Loss: 3.1150, Test Acc: 0.2000
Epoch [18/200], Train Loss: 1.3408, Train Acc: 0.5159, Test Loss: 1.3239, Test Acc: 0.5294
Epoch [19/200], Train Loss: 1.4117, Train Acc: 0.4893, Test Loss: 2.5480, Test Acc: 0.2001
Epoch [20/200], Train Loss: 1.5818, Train Acc: 0.4268, Test Loss: 1.5647, Test Acc: 0.4351
Epoch [21/200], Train Loss: 1.3982, Train Acc: 0.4904, Test Loss: 1.7039, Test Acc: 0.4243
Epoch [22/200], Train Loss: 1.3124, Train Acc: 0.5261, Test Loss: 2.4992, Test Acc: 0.2698
Epoch [23/200], Train Loss: 1.2867, Train Acc: 0.5361, Test Loss: 8.6771, Test Acc: 0.2872
Epoch [24/200], Train Loss: 1.2346, Train Acc: 0.5545, Test Loss: 1.2293, Test Acc: 0.5587
Epoch [25/200], Train Loss: 1.4261, Train Acc: 0.4809, Test Loss: 2.1693, Test Acc: 0.3293
Epoch [26/200], Train Loss: 1.2715, Train Acc: 0.5408, Test Loss: 1.1918, Test Acc: 0.5690
Epoch [27/200], Train Loss: 1.1928, Train Acc: 0.5723, Test Loss: 1.1279, Test Acc: 0.5986
Epoch [28/200], Train Loss: 1.1016, Train Acc: 0.6073, Test Loss: 1.1387, Test Acc: 0.5955
Epoch [29/200], Train Loss: 1.0541, Train Acc: 0.6225, Test Loss: 1.0436, Test Acc: 0.6288
Epoch [30/200], Train Loss: 1.0267, Train Acc: 0.6337, Test Loss: 0.9947, Test Acc: 0.6457
Epoch [31/200], Train Loss: 1.0044, Train Acc: 0.6399, Test Loss: 0.9995, Test Acc: 0.6482
Epoch [32/200], Train Loss: 0.9805, Train Acc: 0.6518, Test Loss: 1.0308, Test Acc: 0.6305
