Epoch [1/200], Train Loss: 2.0651, Train Acc: 0.1980, Test Loss: 1.8895, Test Acc: 0.2341
Epoch [2/200], Train Loss: 1.6476, Train Acc: 0.3668, Test Loss: 1.3698, Test Acc: 0.4872
Epoch [3/200], Train Loss: 1.3697, Train Acc: 0.4968, Test Loss: 1.1837, Test Acc: 0.5623
Epoch [4/200], Train Loss: 1.1515, Train Acc: 0.5835, Test Loss: 0.9715, Test Acc: 0.6455
Epoch [5/200], Train Loss: 1.0042, Train Acc: 0.6444, Test Loss: 0.9004, Test Acc: 0.6852
Epoch [6/200], Train Loss: 0.8863, Train Acc: 0.6874, Test Loss: 0.9415, Test Acc: 0.6665
Epoch [7/200], Train Loss: 0.8087, Train Acc: 0.7169, Test Loss: 0.7593, Test Acc: 0.7406
Epoch [8/200], Train Loss: 0.7298, Train Acc: 0.7464, Test Loss: 0.6944, Test Acc: 0.7621
Epoch [9/200], Train Loss: 0.6648, Train Acc: 0.7723, Test Loss: 0.6350, Test Acc: 0.7801
Epoch [10/200], Train Loss: 0.6169, Train Acc: 0.7905, Test Loss: 0.5915, Test Acc: 0.8048
Epoch [11/200], Train Loss: 0.5759, Train Acc: 0.8044, Test Loss: 0.6763, Test Acc: 0.7765
Epoch [12/200], Train Loss: 0.5375, Train Acc: 0.8182, Test Loss: 0.5376, Test Acc: 0.8191
Epoch [13/200], Train Loss: 0.5132, Train Acc: 0.8240, Test Loss: 0.5225, Test Acc: 0.8300
Epoch [14/200], Train Loss: 0.4831, Train Acc: 0.8365, Test Loss: 0.5783, Test Acc: 0.8094
Epoch [15/200], Train Loss: 0.4547, Train Acc: 0.8464, Test Loss: 0.4693, Test Acc: 0.8407
Epoch [16/200], Train Loss: 0.4335, Train Acc: 0.8536, Test Loss: 0.5448, Test Acc: 0.8222
Epoch [17/200], Train Loss: 0.4118, Train Acc: 0.8620, Test Loss: 0.4916, Test Acc: 0.8386
Epoch [18/200], Train Loss: 0.3907, Train Acc: 0.8684, Test Loss: 0.4543, Test Acc: 0.8518
Epoch [19/200], Train Loss: 0.3666, Train Acc: 0.8766, Test Loss: 0.4458, Test Acc: 0.8563
Epoch [20/200], Train Loss: 0.3505, Train Acc: 0.8818, Test Loss: 0.4573, Test Acc: 0.8516
Epoch [21/200], Train Loss: 0.3403, Train Acc: 0.8851, Test Loss: 0.4617, Test Acc: 0.8431
Epoch [22/200], Train Loss: 0.3288, Train Acc: 0.8886, Test Loss: 0.4388, Test Acc: 0.8562
Epoch [23/200], Train Loss: 0.3160, Train Acc: 0.8922, Test Loss: 0.4502, Test Acc: 0.8564
Epoch [24/200], Train Loss: 0.3036, Train Acc: 0.8977, Test Loss: 0.4264, Test Acc: 0.8648
Epoch [25/200], Train Loss: 0.2927, Train Acc: 0.9016, Test Loss: 0.4273, Test Acc: 0.8595
Epoch [26/200], Train Loss: 0.2792, Train Acc: 0.9054, Test Loss: 0.4338, Test Acc: 0.8592
Epoch [27/200], Train Loss: 0.2672, Train Acc: 0.9101, Test Loss: 0.4731, Test Acc: 0.8569
Epoch [28/200], Train Loss: 0.2559, Train Acc: 0.9129, Test Loss: 0.4036, Test Acc: 0.8670
Epoch [29/200], Train Loss: 0.2431, Train Acc: 0.9175, Test Loss: 0.4081, Test Acc: 0.8749
Epoch [30/200], Train Loss: 0.2349, Train Acc: 0.9223, Test Loss: 0.4572, Test Acc: 0.8634
Epoch [31/200], Train Loss: 0.2286, Train Acc: 0.9218, Test Loss: 0.3895, Test Acc: 0.8778
Epoch [32/200], Train Loss: 0.2167, Train Acc: 0.9270, Test Loss: 0.4456, Test Acc: 0.8632
Epoch [33/200], Train Loss: 0.2266, Train Acc: 0.9220, Test Loss: 0.4253, Test Acc: 0.8708
Epoch [34/200], Train Loss: 0.2085, Train Acc: 0.9298, Test Loss: 0.4536, Test Acc: 0.8634
Epoch [35/200], Train Loss: 0.1989, Train Acc: 0.9332, Test Loss: 0.4269, Test Acc: 0.8685
Epoch [36/200], Train Loss: 0.1957, Train Acc: 0.9338, Test Loss: 0.4276, Test Acc: 0.8715
Epoch [37/200], Train Loss: 0.1913, Train Acc: 0.9351, Test Loss: 0.4103, Test Acc: 0.8774
Epoch [38/200], Train Loss: 0.1841, Train Acc: 0.9382, Test Loss: 0.4226, Test Acc: 0.8730
Epoch [39/200], Train Loss: 0.1802, Train Acc: 0.9398, Test Loss: 0.4290, Test Acc: 0.8728
Epoch [40/200], Train Loss: 0.1748, Train Acc: 0.9408, Test Loss: 0.4425, Test Acc: 0.8687
Epoch [41/200], Train Loss: 0.1712, Train Acc: 0.9418, Test Loss: 0.3926, Test Acc: 0.8769
Epoch [42/200], Train Loss: 0.1612, Train Acc: 0.9459, Test Loss: 0.3777, Test Acc: 0.8808
Epoch [43/200], Train Loss: 0.1701, Train Acc: 0.9430, Test Loss: 0.4332, Test Acc: 0.8804
Epoch [44/200], Train Loss: 0.1616, Train Acc: 0.9449, Test Loss: 0.4038, Test Acc: 0.8796
Epoch [45/200], Train Loss: 0.1602, Train Acc: 0.9469, Test Loss: 0.3876, Test Acc: 0.8847
Epoch [46/200], Train Loss: 0.1501, Train Acc: 0.9498, Test Loss: 0.4369, Test Acc: 0.8723
Epoch [47/200], Train Loss: 0.1451, Train Acc: 0.9503, Test Loss: 0.4192, Test Acc: 0.8785
Epoch [48/200], Train Loss: 0.1517, Train Acc: 0.9481, Test Loss: 0.3926, Test Acc: 0.8873
Epoch [49/200], Train Loss: 0.1377, Train Acc: 0.9540, Test Loss: 0.4196, Test Acc: 0.8810
Epoch [50/200], Train Loss: 0.1440, Train Acc: 0.9509, Test Loss: 0.4013, Test Acc: 0.8861
Epoch [51/200], Train Loss: 0.1324, Train Acc: 0.9549, Test Loss: 0.4234, Test Acc: 0.8769
Epoch [52/200], Train Loss: 0.1283, Train Acc: 0.9558, Test Loss: 0.4244, Test Acc: 0.8808
Epoch [53/200], Train Loss: 0.1316, Train Acc: 0.9552, Test Loss: 0.4181, Test Acc: 0.8829
Epoch [54/200], Train Loss: 0.1337, Train Acc: 0.9549, Test Loss: 0.4328, Test Acc: 0.8746
Epoch [55/200], Train Loss: 0.1242, Train Acc: 0.9579, Test Loss: 0.4247, Test Acc: 0.8853
Epoch [56/200], Train Loss: 0.1328, Train Acc: 0.9554, Test Loss: 0.3971, Test Acc: 0.8827
Epoch [57/200], Train Loss: 0.1221, Train Acc: 0.9584, Test Loss: 0.4254, Test Acc: 0.8820
Epoch [58/200], Train Loss: 0.1270, Train Acc: 0.9573, Test Loss: 0.4255, Test Acc: 0.8851
Epoch [59/200], Train Loss: 0.1152, Train Acc: 0.9606, Test Loss: 0.4015, Test Acc: 0.8875
Epoch [60/200], Train Loss: 0.1173, Train Acc: 0.9605, Test Loss: 0.4166, Test Acc: 0.8838
Epoch [61/200], Train Loss: 0.1150, Train Acc: 0.9607, Test Loss: 0.4615, Test Acc: 0.8757
Epoch [62/200], Train Loss: 0.1127, Train Acc: 0.9627, Test Loss: 0.3662, Test Acc: 0.8939
Epoch [63/200], Train Loss: 0.1078, Train Acc: 0.9640, Test Loss: 0.4175, Test Acc: 0.8853
Epoch [64/200], Train Loss: 0.1089, Train Acc: 0.9627, Test Loss: 0.4111, Test Acc: 0.8888
Epoch [65/200], Train Loss: 0.1071, Train Acc: 0.9646, Test Loss: 0.3931, Test Acc: 0.8853
Epoch [66/200], Train Loss: 0.1032, Train Acc: 0.9644, Test Loss: 0.4283, Test Acc: 0.8855
Epoch [67/200], Train Loss: 0.1058, Train Acc: 0.9639, Test Loss: 0.4237, Test Acc: 0.8843
Epoch [68/200], Train Loss: 0.1021, Train Acc: 0.9656, Test Loss: 0.4119, Test Acc: 0.8842
Epoch [69/200], Train Loss: 0.1042, Train Acc: 0.9641, Test Loss: 0.4816, Test Acc: 0.8736
Epoch [70/200], Train Loss: 0.1021, Train Acc: 0.9654, Test Loss: 0.4371, Test Acc: 0.8818
Epoch [71/200], Train Loss: 0.0955, Train Acc: 0.9668, Test Loss: 0.4229, Test Acc: 0.8897
Epoch [72/200], Train Loss: 0.1025, Train Acc: 0.9649, Test Loss: 0.3809, Test Acc: 0.8921
Epoch [73/200], Train Loss: 0.0960, Train Acc: 0.9681, Test Loss: 0.4604, Test Acc: 0.8785
Epoch [74/200], Train Loss: 0.0964, Train Acc: 0.9666, Test Loss: 0.4368, Test Acc: 0.8840
Epoch [75/200], Train Loss: 0.0960, Train Acc: 0.9676, Test Loss: 0.4464, Test Acc: 0.8788
Epoch [76/200], Train Loss: 0.0961, Train Acc: 0.9677, Test Loss: 0.4168, Test Acc: 0.8814
Epoch [77/200], Train Loss: 0.0960, Train Acc: 0.9675, Test Loss: 0.3930, Test Acc: 0.8938
Epoch [78/200], Train Loss: 0.0895, Train Acc: 0.9696, Test Loss: 0.4219, Test Acc: 0.8869
Epoch [79/200], Train Loss: 0.0886, Train Acc: 0.9697, Test Loss: 0.3927, Test Acc: 0.8915
Epoch [80/200], Train Loss: 0.0960, Train Acc: 0.9673, Test Loss: 0.4140, Test Acc: 0.8878
Epoch [81/200], Train Loss: 0.0999, Train Acc: 0.9664, Test Loss: 0.4381, Test Acc: 0.8848
Epoch [82/200], Train Loss: 0.0918, Train Acc: 0.9695, Test Loss: 0.4482, Test Acc: 0.8832
Epoch [83/200], Train Loss: 0.0868, Train Acc: 0.9701, Test Loss: 0.3969, Test Acc: 0.8947
Epoch [84/200], Train Loss: 0.0900, Train Acc: 0.9696, Test Loss: 0.4094, Test Acc: 0.8917
Epoch [85/200], Train Loss: 0.0878, Train Acc: 0.9698, Test Loss: 0.4161, Test Acc: 0.8854
Epoch [86/200], Train Loss: 0.0904, Train Acc: 0.9690, Test Loss: 0.3721, Test Acc: 0.8930
Epoch [87/200], Train Loss: 0.0807, Train Acc: 0.9729, Test Loss: 0.4409, Test Acc: 0.8868
Epoch [88/200], Train Loss: 0.0893, Train Acc: 0.9701, Test Loss: 0.3906, Test Acc: 0.8945
Epoch [89/200], Train Loss: 0.0839, Train Acc: 0.9723, Test Loss: 0.4327, Test Acc: 0.8871
Epoch [90/200], Train Loss: 0.0837, Train Acc: 0.9721, Test Loss: 0.4421, Test Acc: 0.8851
Epoch [91/200], Train Loss: 0.0885, Train Acc: 0.9702, Test Loss: 0.4439, Test Acc: 0.8890
Epoch [92/200], Train Loss: 0.0853, Train Acc: 0.9708, Test Loss: 0.4013, Test Acc: 0.8906
Epoch [93/200], Train Loss: 0.0800, Train Acc: 0.9727, Test Loss: 0.4266, Test Acc: 0.8873
Epoch [94/200], Train Loss: 0.0794, Train Acc: 0.9728, Test Loss: 0.4202, Test Acc: 0.8881
